project_id,ICR_outratingind,ICR_completion_riskdo,ICR_overallrating,ICR_bankqualityentry,ICR_banksupervision,ICR_borroverall,ICR_borrgovt,ICR_borrimplegency,IEG_outcome,IEG_evaluation_riskdo,IEG_bankqualityatentry,IEG_bankqualityofsupervision,IEG_overallbankperf,IEG_overallborrowperf,IEG_borrowcompliance,IEG_borrowimplementation,IEG_icrquality,IEG_mequality
P102767,,NIL,,,,,,,,NIL,,,,,,,,NIL
P098843,,NIL,,,,,,,,NIL,,,,,,,,NIL
P106909,,NIL,,,,,,,,NIL,,,,,,,,NIL
P112688,Satisfactory,NIL,Satisfactory,Moderately Satisfactory,Satisfactory,Satisfactory,Satisfactory,Satisfactory,MODERATELY SATISFACTORY,HIGH,MODERATELY SATISFACTORY,SATISFACTORY,MODERATELY SATISFACTORY,SATISFACTORY,SATISFACTORY,SATISFACTORY,SUBSTANTIAL,MODEST
P116236,Satisfactory,NIL,Satisfactory,,,,,,,NIL,,,,,,,,NIL
P103160,Highly Satisfactory,NIL,Satisfactory,Satisfactory,Highly Satisfactory,Satisfactory,Satisfactory,Satisfactory,,NIL,,,,,,,,NIL
P098654,Satisfactory,NIL,Moderately Satisfactory,Satisfactory,Moderately Satisfactory,Moderately Satisfactory,Highly Satisfactory,Moderately Satisfactory,SATISFACTORY,MODERATE,MODERATELY SATISFACTORY,MODERATELY SATISFACTORY,MODERATELY SATISFACTORY,SATISFACTORY,HIGHLY SATISFACTORY,SATISFACTORY,SATISFACTORY,SUBSTANTIAL
P100968,Satisfactory,NIL,Satisfactory,,,,,,,NIL,,,,,,,,NIL
P102368,,NIL,,,,,,,,NIL,,,,,,,,NIL
P107300,Moderately Satisfactory,NIL,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Satisfactory,MODERATELY SATISFACTORY,SIGNIFICANT,MODERATELY SATISFACTORY,SATISFACTORY,MODERATELY SATISFACTORY,MODERATELY SATISFACTORY,MODERATELY SATISFACTORY,MODERATELY SATISFACTORY,SATISFACTORY,MODEST
P112573,Moderately Satisfactory,NIL,Moderately Satisfactory,Moderately Unsatisfactory,Satisfactory,Moderately Satisfactory,Moderately Unsatisfactory,Moderately Satisfactory,MODERATELY SATISFACTORY,SIGNIFICANT,MODERATELY SATISFACTORY,MODERATELY SATISFACTORY,MODERATELY SATISFACTORY,MODERATELY SATISFACTORY,MODERATELY UNSATISFACTORY,MODERATELY SATISFACTORY,SUBSTANTIAL,SUBSTANTIAL
P115066,Satisfactory,NIL,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Satisfactory,,NIL,,,,,,,,NIL
P112578,Satisfactory,NIL,Moderately Satisfactory,Moderately Satisfactory,Satisfactory,Moderately Satisfactory,Satisfactory,Moderately Satisfactory,,NIL,,,,,,,,NIL
P113489,,NIL,,,,,,,,NIL,,,,,,,,NIL
P115064,,NIL,,,,,,,,NIL,,,,,,,,NIL
